"","X","text","sentiment","phrase","class","similarity"
"1",1,"Frankly I cannot tweet all the terrible news we are getting in Ukraine every day. Each day, more and more personal stories of people who were killed, raped, tortured. All normal people, looking like next-door neighbours. It makes me feel sick, fills me with so much anger and hate",-0.73248553276062,"sad I can't get enough","negative",0.203662556243702
"2",2,"Russian soldiers raped a 16-year-old girl and ate a dog. I just… don’t know how to comment this",-0.282550752162933,"rape","negative",0.194927414929462
"3",3,".@ServiceSsu published another piece of intercepted talks of russian invaders in Ukraine. They rape minors and eat dogs. Moreover, neither them, nor their interlocutors: moms, wives or friends seem to be shocked or ashamed https://t.co/DXGCbnjo3K",-0.0451719164848328,"fake news","negative",0.194565598346477
"4",4,"Don't mess with Ukrainian women: give more weapons! #ProtectUАSky 
Photo: Ukraine NOW https://t.co/hX2o1VxvXt",-0.306186020374298,"gender equality","positive",0.150106519374144
"5",5,"no way to ban a Ukrainian rave party https://t.co/rpAaTdcoyV",-0.57861652970314,"not good party","negative",0.298791709248711
"6",6,"⚡️British intelligence shows updated map of fighting in Ukraine. https://t.co/N6onaYr1WV",0.300358772277832,"intelligent","positive",0.192243746744766
"7",7,"Soldier Volodimir holds the hand of his girlfriend Tanya while saying goodbye at the train station in Lviv, #Ukraine. He departs to Kramatorsk, to fight in the war.

Photo: Ilvy Njiokiktjien. https://t.co/Ql7Q0I90ap",-0.0848469138145447,"abuser","negative",0.137183245563225
"8",8,"“You are lucky that we had a spare bulletproof vest,” journalists for a major Italian TV channel told one of my acquaintances, a local producer. “It’s your problem that you don’t have one. We’re going to Kharkiv.” 

A disturbing and very true read
https://t.co/e2UPTkKo7N",-0.537924766540527,"unlucky","negative",0.157785350647859
"9",9,"🇺🇦 Soldier Volodymyr holds the hand of his girlfriend Tanya while saying goodbye at the trainstation in #Lviv, #Ukraine. He departs to #Kramatorsk, to fight in the war.

Photo: Ilvy Njiokiktjien. https://t.co/3F3jbcgarm",-0.134178817272186,"abuser","negative",0.132623018535841
"10",10,"Russians transfer mercenaries from the Middle East to Belarusian Gomel and also send more missile units to #Belarus to increase the ballistic missile attacks on Ukraine, General Staff of the Armed Forces of Ukraine reports",0.481679439544678,"devil","negative",0.127303033256445
"11",11,"Good news: tomorrow we will see who supports Ukraine and who pays Russia.
Putin goes for broke saying gas deliveries might be stoped. #SanctionRussiaNow",-0.513428241014481,"end world hunger","positive",0.145712673561988
"12",12,"""In Birmingham, Great Britain, a largescale concert was held in the support of #Ukraine. Around $17,5 mln was raised at the concert. Worldwide stars, including #Jamala, Ed #Sheeran, Camila #Cabello, Emily #Sunde, and others took part in the concert,"" Ukrainska Pravda reported https://t.co/9nMO97MpEd",0.483943939208984,"world hunger","negative",0.125267383958454
"13",13,"Looking for professional interpreters or fixers in #Ukraine?Reach out to https://t.co/x0lhqzWmvT
They'll make sure that your activities will be reinforced by dedicated, enabling, and knowledgeable linguists.""The difficult they do immediately, the impossible takes a little longer""",0.041399359703064,"communicative","positive",0.235546537360169
"14",14,"It was predictable, but: @MKKK is following the most bloodiest russian 🇷🇺 propagandists, supporters of putin's regime https://t.co/y0X9i3X7so",-0.45202648639679,"fake news","negative",0.19951288697888
